,text,class
0,"animal comprise a wastebasket taxon (miscellaneous group) within the family bovidae. unlike deer antlers, which are shed and grown annually, animal horns grow continuously. the english word ""animal"" first appeared in 1417 and is derived from the old french antelop.",Antelope
1,"the 91 animal species, most of which are native to africa, occur in about 30 genera. the classification of tribes or subfamilies within bovidae is still a matter of debate. the arabian peninsula is home to the arabian oryx and dorcas gazelle. india is hometo nilgai, chinkara, blackbuck, tibetan animal, and four-horned animal.",Antelope
2,"no animal species is native to australasia or antarctica, nor do any extant species occur in the americas. north america is currently home to the native pronghorn, which taxonomists do not consider a member of the animal group. many species of animal have been imported to other parts of the world, especially the united states, for exotic game hunting.",Antelope
3,"animal have a wide variety of coverings, though most have a dense coat of short fur. different animal have different body types, which can affect movement. some (eg klipspringer) are adapted to inhabiting rock koppies and crags.",Antelope
4,"animal are ruminants, so have well-developed molar teeth, which grind cud (food balls stored in the stomach) into a pulp for further digestion. most of the ""spiral-horned"" animal have pale, vertical stripes on their backs. many desert and semidesert species are particularly pale, some almost silvery or whitish.",Antelope
5,"the size and shape of animal horns varies greatly. in most species, both sexes have horns, but those of males tend to be larger. horns are not shed and their bony cores are covered with a thick, persistent sheath of horny material, both of which distinguish them from antlers. males more commonly use horns against each other than against another species.",Antelope
6,"animal are often classified by their reproductive behavior. small animal, such as dik-diks, tend to be monogamous. large grazing animal form large herds made up of many females and a single breeding male. springboks use a behavior known as stotting to confuse predators.",Antelope
7,"gazelles may not flee from a lion until it is closer than 200 m (650 ft) about 25 species are rated by the iucn as endangered. the main causes for concern for these species are habitat loss, competition with cattle for grazing, and trophy hunting.",Antelope
8,"the animal's horn is prized for supposed medicinal and magical powers in many places. there is no scientific evidence that the horns of any animal have any change on a human's physiology or characteristics. the horn of the male saiga is ground as an aphrodisiac, for which it has been hunted nearly to extinction.",Antelope
9,"animal will consistently display a fear response to perceived predators, such as humans, making them very difficult to herd or handle. this tendency to panic and their nonhierarchical social structure explains why farm-raised animal are uncommon. other animal that have been tamed successfully include the gemsbok, kudu, and springbok.",Antelope
10,"most hybrid animal occur only in captivity. the less closely related the parents, the more likely the offspring will be sterile. the heraldic animal has the body of a stag and the tail of a lion, with serrated horns, and a small tusk at the end of its snout.",Antelope
