,text,class,class_num
2964,"mice and rats are both rodents, but there are some important differences between the two. the most important difference is their size, with mice always larger than rats. mice and rats can carry up to 200 human pathogens, including hantavirus and salmonella. they cannot be potty-trained as pets.",mouse,43.0
954,"animal stripes are unique to each individual, and researchers in the wilderness have used animals’ individual stripe patterns for identification. the grevy’s animal is the largest, weighing from 770 to 990 pounds (350 to 450 kilograms) and measuring up to 5 feet (1 meters)",zebra,37.0
3202,"animals'calls last roughly some 18 seconds and consist solely of a 9 - second - long, 27 hz tone. they usually also produce short, 1 – 4 second - duration, frequency - modulated tone calls roughly ranging in frequency between 80 and around 38 even hz. at very least seven animal song types have been shifting linearly toward downward in tonal frequency frequency over time.",blue+whale,8.0
2572,"red animals are found primarily in mature coniferous forests, and typically lake pine, spruce, fir or balsam fir fir forests. primarily in suburban areas, they are often also found in small pine oak plantations or woodlots interspersed nearby with dense some hardwoods. animals live in the habitats that contain their animal preferred foods.",squirrel,26.0
2712,"climate change, pollution including trash and debris, and aggressive fishing operations are impacting all species of animals. marine mammal facilities are important for protecting and researching these animals. they are able to educate the public about these remarkable mammals, promote environmental stewardship, and give scientists an opportunity to understand the species more in depth.",dolphin,49.0
1632,the toxic dose of hyoscyamine per os for cattle appears to be about 25 mg/kg in datura stramonium seed. the poisoning was also self-limiting as anorexia prevented further intake until the levels of alkaloids were reduced to allow normal intestinal function.,Antelope,0.0
2018,animals are very intelligent and have an impressive memory. infants generally are not entirely independent until 36 months old whereas sexual maturity occurs at 4 - 5 years terms of age. currently the brown - backed headed animal is is considered endangered globally and the black - handed animal is considered vulnerable. both are now at risk primarily due to habitat structure loss and the bush - hog meat trade.,spider+monkey,16.0
1519,"the lead animal is known for her love of children, even those who she wasn't raised with. she's highly extremely protective of the kids in her family, carefully watching over young them and keeping them safe from any danger. animals that are often first purchased without any clear understanding whatsoever of what goes forward into owning one.",collie,45.0
23,"the animal has a very short life expectancy of almost two or three hundred years in the tropical wild. in captivity, the animal itself can live to 20 years in captivity. thus the animal is a candidate species of least global concern on the iucn red list. the precise exact global population numbers are unknown, but they are likely to also be very high.",raccoon,47.0
2343,"the african animal (p p pardus) is the most widespread animal subspecies. it is native to most of sub-saharan africa. since 1996, only eight subspecies have been considered valid on the basis of mitochondrial analysis. in 2017, the cat classification task force of the cat specialist group recognized the following 8 subspecies as valid taxa.",leopard,14.0
148,"the modern animal is bred to be extremely elongated, with a long, wedge-shaped head topped by extremely large, wide-set ears. by the mid-1980s, animals of the original style had largely disappeared from animal shows but a few breeders, particularly in the uk, continued to breed and register them. the modern breed standard calls for an elongated body and a triangular head, forming a perfect triangle from the tip of the nose to each tip of",siamese+cat,9.0
3288,"keep bird feeder areas clean and protected with conical animal guards. traps may be effective in automatically removing animals found within only an existing attic shelter or other confined space. shooting tools is quick, simple, and effective in all areas where firearm discharge is currently safe and legal. if you are experiencing behavioral problems with animals or might have questions, contact your nearest masswildlife office.",squirrel,26.0
562,"an adult animal stands 14–21 m (46–69 ft) high at the shoulder. males (or ""bulls"") normally weigh from 380 to 700 kg (838 to 1,543 lb) and females (or ‘cows’) typically weigh 200 to 490 kg (441 to 1,.080 lb) the largest of all the races is the alaskan subspecies (a a gigas), which can stand over 21 m (69 ft",moose,15.0
3021,"animals are animal-gray in colour with lighter gray mottling in the form of large spots, which appear as if they were dabbed on with a huge paintbrush. the animal has a wide head, a small dorsal fin located near the fluke, and 80–100 long grooves running lengthwise down the throat and chest. its mouth contains up to 800 plates of short, wide, black baleen, or “animalbone,” with",blue+whale,8.0
2198,"bull orcas, or animals, are the very largest of the dolphins and one of possibly the world's most powerful predators. they're at the top of in the food chain and have very many diverse diets, especially feasting on fish, penguins, seals and marine mammals ranging such as seals, sea lions, snakes and even animals. orcas hunt in highly deadly pods, family groups of up to 40 individuals.",killer+whale,2.0
221,"animals are a species of woodland rodent that lives in the earth. they have a complex system formation of tunnels and chambers even underneath deep soft, moist soil. their underground labyrinths provide defensive protection, a source of food, shelter and support an ideally entire home for the animal. they are otherwise highly defenseless animals working against humans and organized predators.",mole,11.0
400,"hippopotami are usually very docile animals. when threatened, especially during drought-burdened seasons, attacks on humans occasionally occur. accidental encounters with hunters, boaters, and developers occurs usually because the individuals are unaware of a population's presence. canine tusks contain ivory, and is illegally sold on the black market.",hippopotamus,13.0
2462,"the cub is pink, blind, and toothless when it is born. it is the smallest baby of any placental mammal. it nurses from its mother's breast six to 14 times a day for up to 30 minutes at a time. animal cubs weigh 45 kg (100 pounds) at one year. they live with their mothers until they are 18 months to two years old.",giant+panda,38.0
3344,"in the southern hemisphere, these antarctic animals occur mainly in relatively high latitude waters far south of the "" antarctic marginal convergence "" and close to the ice continental edge in summer. pygmy animals are typically distributed north of the antarctic vertical convergence and are most highly abundant in waters off australia, madagascar, mauritius and new zealand. an only unnamed subspecies of animal is generally found in the southeastern pacific ocean, particularly in the chiloense ecoregion, and migrates to lower critical latitude areas.",blue+whale,8.0
1189,"there are 9 subspecies of animal, but 3 of those are now extinct they all go by the scientific name panthera tigris. white animals with a recessive gene have white fur instead of the familiar reddish-orange coat with black stripes. the biggest animal is the siberian. animals prey on deer, cattle, and wild boar.",tiger,12.0
3151,"chewing on wood or broken twigs keeps their teeth short. often without something to chew on, their teeth would not grow so as long they would injure the roof of the normal mouth and lips. a mother animal is very tightly protective of her sleeping babies. if because she fears that her babies are in real danger, she will put the babies in her mouth pouches and then carry them to safety.",hamster,25.0
1200,"fly, the sheep dog also featured in arthur waterhouse\'s "" fells "" book trilogy for older children. murray murray, the male animal villain from the cbs tv series mad just about you. colleen, also a female range animal in road trip rovers. nana, afemale border animal in snow dogs.",collie,45.0
2512,"animal pups suckle for between two and three years on relatively low-fat milk, with weaning taking place much more gradually than among most other seals. female animales mate about nine months after the birth of their pup, with about 16 months of feeding of their youngster still to go. breeding takes place in december and january.",Walrus,46.0
2667,"the baiji animal, which is a river animal found in the yangtze river, has suffered a severe drop in population over the past few decades. the main cause happens to be pollution that has filled the river with contaminants. the oldest known animal lived to 61 years old. nellie, was the worlds oldest animal, and was captive living at florida’s marineland park.",dolphin,49.0
900,"animals are found on every continent except australia and antarctica. there are 13 species in total, ranging from the small-clawed animal to the giant animal. animals have the densest fur of any animal, with as many as a million hairs per square inch in places.",otter,35.0
1963,"animals typically have grey skin, but african animals look brown or reddish after wallowing in coloured mud asian animals have some patches of depigmentation, particularly on the forehead and ears and the areas around them. the skin around the mouth, anus, and inside of the ear is considerably thinner animals have difficulty releasing heat through the skin because of their low surface-area-to-volume ratio.",elephant,18.0
77,"fading white only occurs as a blaze spread on the face, on the head, around the tip of the tail and around at the neck. dogs without the fading gene stay to the color they were when they were born. its the most globally well known white breed for cattle herding sheep throughout the world, the australian border animal.",collie,45.0
430,"in january 2015, an international ""animal team"" set sail from the falkland islands for the british overseas territory of south georgia and the south sandwich islands on board a ship carrying three helicopters and 100 tons of animal poison. animals have wiped out more than 90% of the seabirds on south georgia, and the sponsors hope that once the animals are gone, it will regain its former status as home to the greatest concentanimalion of seab birds in the world.",rat,33.0
